kk_id,kk_name,year,f_comm,teainc,lteainc,f_prot1885,provinzkey,f_prot,f_rw,f_young,f_over60,f_fem,f_ortsgeb,f_urban,sample_bal,daylab_urb,ldaylab_urb
13040,Grafschaft Hohnstein,1901,0.4421152,1867.763,7.532497,0.9793794,,,,,,,,,0,,
13040,Grafschaft Hohnstein,1906,0.4074852,1784.293,7.486777,0.9793794,,,,,,,,,0,,
13040,Grafschaft Hohnstein,1911,0.3683883,1827.365,7.510631,0.9793794,,,,,,,,,0,,
13044,Hameln (Gross-Berkeln),1886,,1283.266,7.157163,0.9704941,8,0.9798821,0.9487041,0.2349367,0.0873486,0.5067697,0.6533687,0.1984228,0,,
13044,Hameln (Gross-Berkeln),1891,,1340.872,7.201076,0.9704941,8,,,,,,,,0,1.75,0.5596158
13044,Hameln (Gross-Berkeln),1896,0.5269556,1419.758,7.258242,0.9704941,8,,,,,,,,0,,
13044,Hameln (Gross-Berkeln),1901,0.519345,1874.276,7.535978,0.9704941,8,,,,,,,,0,1.75,0.5596158
13044,Hameln (Gross-Berkeln),1906,0.4745129,1887.458,7.542986,0.9704941,8,,,,,,,,0,,
13044,Hameln (Gross-Berkeln),1911,0.4399254,1804.88,7.49825,0.9704941,8,,,,,,,,0,,
13045,Hannover (Stadt),1886,0.2318136,1466.756,7.290808,0.894447,8,0.9283621,0.9638935,0.2140348,0.0624684,0.4844791,0.4603244,0.6446515,0,,
13045,Hannover (Stadt),1891,0.2293926,1557.868,7.351073,0.894447,8,,,,,,,,0,2.1075,0.7455025
13045,Hannover (Stadt),1896,0.2142898,1994.022,7.597909,0.894447,8,,,,,,,,0,,
13045,Hannover (Stadt),1901,0.2105568,2430.079,7.795679,0.894447,8,,,,,,,,0,2.425,0.8858316
13045,Hannover (Stadt),1906,0.1822609,2631.085,7.875152,0.894447,8,,,,,,,,0,,
13045,Hannover (Stadt),1911,,2525.692,7.83427,0.894447,8,,,,,,,,0,,
13046,Harburg,1886,,1469.127,7.292424,0.9644276,,,,,,,,,0,,
13046,Harburg,1891,0.4353479,1473.579,7.295449,0.9644276,,,,,,,,,0,,
13046,Harburg,1896,0.1780603,1541.25,7.340349,0.9644276,,,,,,,,,0,,
13046,Harburg,1901,0.3057238,1847.023,7.52133,0.9644276,,,,,,,,,0,,
13046,Harburg,1906,0.2592814,2015.857,7.608799,0.9644276,,,,,,,,,0,,
13046,Harburg,1911,0.2295602,2153.889,7.67503,0.9644276,,,,,,,,,0,,
13048,Hedemuenden,1886,0.4811297,1146.592,7.044549,0.9637763,,,,,,,,,1,,
13048,Hedemuenden,1891,0.5395661,1186.636,7.078877,0.9637763,,,,,,,,,1,,
13048,Hedemuenden,1896,0.5823697,1316.646,7.182843,0.9637763,,,,,,,,,1,,
13048,Hedemuenden,1901,0.580303,1809.879,7.501015,0.9637763,,,,,,,,,1,,
13048,Hedemuenden,1906,0.559563,1906.592,7.553072,0.9637763,,,,,,,,,1,,
13048,Hedemuenden,1911,0.5524637,1970.006,7.585792,0.9637763,,,,,,,,,1,,
13049,Herzberg / Harz,1886,,1098.503,7.001703,0.0716305,,,,,,,,,0,,
13049,Herzberg / Harz,1891,0.4090894,1192.243,7.083591,0.0716305,,,,,,,,,0,,
13049,Herzberg / Harz,1896,0.4264561,1221.918,7.108177,0.0716305,,,,,,,,,0,,
13049,Herzberg / Harz,1901,0.4395777,1889.388,7.544008,0.0716305,,,,,,,,,0,,
13049,Herzberg / Harz,1906,0.4167378,1842.359,7.518802,0.0716305,,,,,,,,,0,,
13049,Herzberg / Harz,1911,0.3723552,1760.149,7.473154,0.0716305,,,,,,,,,0,,
13050,Hildesheim,1886,0.3431357,1526.213,7.330545,0.6295842,8,0.7958663,0.8808346,0.2454143,0.0948919,0.5167983,0.6502307,0.1367883,1,,
13050,Hildesheim,1891,0.3686266,1617.856,7.388857,0.6295842,8,,,,,,,,1,1.633333,0.4906229
13050,Hildesheim,1896,0.3362341,1561.73,7.353549,0.6295842,8,,,,,,,,1,,
13050,Hildesheim,1901,0.335032,2078.759,7.639526,0.6295842,8,,,,,,,,1,1.8,0.5877866
13050,Hildesheim,1906,0.2901885,2186.142,7.689894,0.6295842,8,,,,,,,,1,,
13050,Hildesheim,1911,0.2705863,2136.322,7.666841,0.6295842,8,,,,,,,,1,,
13051,Hohnstedt-Northeim,1886,0.5624971,1184.184,7.076809,0.9472923,,,,,,,,,0,,
13051,Hohnstedt-Northeim,1891,,1303.519,7.172823,0.9472923,,,,,,,,,0,,
13051,Hohnstedt-Northeim,1896,,1481.468,7.300788,0.9472923,,,,,,,,,0,,
13051,Hohnstedt-Northeim,1901,0.5869132,2023.819,7.612742,0.9472923,,,,,,,,,0,,
13051,Hohnstedt-Northeim,1906,0.5404475,1999.437,7.600621,0.9472923,,,,,,,,,0,,
13051,Hohnstedt-Northeim,1911,0.5212777,1873.896,7.535775,0.9472923,,,,,,,,,0,,
13052,Hoya,1886,0.9803198,1250.764,7.13151,0.9880757,8,0.9919152,0.9601002,0.2325638,0.0877847,0.5006829,0.6365819,0.1313389,1,,
13052,Hoya,1891,0.9928837,1209.034,7.097577,0.9880757,8,,,,,,,,1,1.5,0.4054651
13052,Hoya,1896,0.9771709,1380.267,7.230032,0.9880757,8,,,,,,,,1,,
13052,Hoya,1901,1.005617,1791.13,7.490602,0.9880757,8,,,,,,,,1,1.6,0.4700036
13052,Hoya,1906,0.9815963,1811.115,7.501698,0.9880757,8,,,,,,,,1,,
13052,Hoya,1911,0.9382501,1679.651,7.426341,0.9880757,8,,,,,,,,1,,
13054,Kehdingen,1886,0.3023042,1388.745,7.236156,0.9959434,,,,,,,,,1,,
13054,Kehdingen,1891,0.3132393,1322.371,7.187181,0.9959434,,,,,,,,,1,,
13054,Kehdingen,1896,0.3077117,1385.717,7.233973,0.9959434,,,,,,,,,1,,
13054,Kehdingen,1901,0.3460919,1943.031,7.572004,0.9959434,,,,,,,,,1,,
13054,Kehdingen,1906,0.3578896,2007.328,7.60456,0.9959434,,,,,,,,,1,,
13054,Kehdingen,1911,0.3617707,1812.551,7.502491,0.9959434,,,,,,,,,1,,
13055,Land Hadeln,1886,0.2950057,1345.495,7.204518,0.9954934,8,0.9964133,0.9260494,0.2335416,0.1030654,0.5025454,0.5941803,0.1041305,0,,
13055,Land Hadeln,1891,0.3119204,1388.088,7.235682,0.9954934,8,,,,,,,,0,2,0.6931472
13055,Land Hadeln,1896,0.3440571,1362.022,7.216726,0.9954934,8,,,,,,,,0,,
13055,Land Hadeln,1901,0.367713,1685.146,7.429607,0.9954934,8,,,,,,,,0,2.5,0.9162908
13055,Land Hadeln,1906,,1814.479,7.503554,0.9954934,8,,,,,,,,0,,
13055,Land Hadeln,1911,0.3532253,1742.755,7.463223,0.9954934,8,,,,,,,,0,,
13057,Leer,1886,0.1161767,1322.771,7.187484,0.9184638,8,0.9272177,0.9242151,0.2501905,0.0937311,0.5219855,0.5888152,0.1927265,0,,
13057,Leer,1891,,1337.79,7.198774,0.9184638,8,,,,,,,,0,1.75,0.5596158
13057,Leer,1896,,1387.01,7.234906,0.9184638,8,,,,,,,,0,,
13057,Leer,1901,0.157901,1727.835,7.454625,0.9184638,8,,,,,,,,0,2.1,0.7419373
13057,Leer,1906,0.1627833,1794.557,7.492513,0.9184638,8,,,,,,,,0,,
13057,Leer,1911,0.1534517,1780.647,7.484732,0.9184638,8,,,,,,,,0,,
13058,Lehe,1886,0.4562127,1153.471,7.050531,0.9764559,8,0.9775492,0.9506199,0.2586777,0.0800255,0.4993135,0.5191345,0.2944327,0,,
13058,Lehe,1891,0.4589936,1346.127,7.204987,0.9764559,8,,,,,,,,0,3,1.098612
13058,Lehe,1896,,1534.854,7.336191,0.9764559,8,,,,,,,,0,,
13058,Lehe,1901,,1864.939,7.530983,0.9764559,8,,,,,,,,0,3,1.098612
13058,Lehe,1906,0.3132786,2045.656,7.623474,0.9764559,8,,,,,,,,0,,
13058,Lehe,1911,0.2826423,2087.501,7.643723,0.9764559,8,,,,,,,,0,,
13059,Lesum,1886,,1276.596,7.151953,0.9782794,8,0.9812196,0.9584143,0.2653168,0.0879676,0.5160213,0.611415,0.0821078,0,,
13059,Lesum,1891,,1240.976,7.123653,0.9782794,8,,,,,,,,0,2,0.6931472
